Cluster ID,Company Names
74,"shriram transport finance, shriram finance, shriram finance ltd, shriram transport finance company"
75,"sun pharmaceutical industries, sun pharma laboratories, sun pharma advanced research company, sun pharmaceutical, sun pharma industries, sun pharmaceutical industries ltd, sun pharmaceutical industries, sun pharma advanced research company, beijing science sun pharmaceutical"
76,shapoorji pallonji group
77,"ashok leyland, ashok leyland ltd, ashok leyland"
78,"aurobindo pharma, aurobindo pharma, aurobindo pharma ltd, aurobindo pharma"
79,"vivo, vivo healthcare"
80,"au small finance bank, au small finance bank"
81,"siemens, siemens energy, siemens healthcare, siemens healthineers, siemens, siemens, siemens healthineers, siemens energy, siemens energy, siemens healthineers ag, siemens, siemens, siemens energy, siemens, siemens ltd, siemens healthineers ag, siemens energy ag, siemens ag, siemens, siemens healthineers ag, siemens energy, siemens india"
82,"apollo hospitals, apollo clinic, apollo speciality hospital, apollo spectra hospitals, apollo spectra hospitals, apollomedics super speciality hospitals, apollo medical holdings, apollo healthcare corp., apollo hospitals enterprise ltd, apollo hospitals enterprise, apollo medical holdings"
83,"hewlett-packard enterprise, hewlett-packard, hewlett packard enterprise, hewlett packard enterprise, hewlett packard enterprise company, hewlett packard enterprise, hewlett packard enterprise co, hewlett packard enterprise company, hewlett-packard development company, l.p., hewlett packard enterprise company"
84,"nokia, nokia, nokia, nokia, nokia corporation, nokia, nokia, nokia corp, nokia corporation"
85,max life insurance
86,"first source, 1st source"
87,"hexaware technologies, hexaware technologies, hexaware technologies ltd, hexaware technologies"
88,"jsw steel, jsw steel, jsw steel, jsw steel, jsw, jsw steel ltd, jsw steel"
89,"oracle, oracle, oracle, oracle corp japan, oracle, oracle, oracle corporation japan, oracle corp, oracle corporation, oracle corporation japan"
90,intelenet global services
91,"quess, quess"
92,"reliance communications, reliance communications"
93,future group
94,jll
95,"hero motocorp, hero motocorp ltd, hero motocorp"
96,"fidelity national information services, fidelity national financial, fidelity investment, fidelity national information services, fidelity national financial, fidelity national information (fis), fidelity national financial careers, fidelity national financial, inc., fidelity national information services, inc., fidelity national financial, fidelity national information (fis), fidelity national information services inc, fidelity national financial inc, fidelity national information services, fidelity national financial, fidelity capital investors, inc., fidelity investments institutional operations company, inc."
97,justdial
98,tvs motor
99,"cyient, cyient, cyient"
100,"oyo rooms, oyo rooms, oyo rooms"
101,"bajaj allianz life insurance, bajaj allianz general insurance company ltd, bajaj allianze general insurance, bupa arabia for cooperative insurance company, arabia insurance cooperative company, arabian shield cooperative insurance company, chubb arabia cooperative insurance company, saudi enaya cooperative insurance company, saudi arabian cooperative insurance company, allianz saudi fransi cooperative insurance company, bupa arabia for cooperative insurance company, bupa arabia for cooperative insurance company"
102,"hyundai motor, hyundai engineering and construction, hyundai construction equipment, hyundai heavy industries, hyundai engineering, hyundai steel, hyundai, hyundai, hyundai motor, hyundai heavy industries holdings co. ltd, hyundai construction equipment co. ltd, hyundai corp holdings co. ltd, hyundai motor, hyundai steel, hd hyundai, hyundai engineering, hyundai rotem co, hyundai development co, hyundai engineering & construction co ltd, hyundai steel co, hyundai motor co, hyundai motor company, hyundai steel company, hyundai engineering & construction, hyundai heavy industries holdings, hyundai rotem company, hyundai development company, hyundai motor america, hyundai motor america"
103,wipro bps
104,"bosch, bosch rexroth india, bosch, bosch india, bosch careers, robert bosch gmbh, bosch ltd, robert bosch gmbh, robert bosch, bosch"
105,megha engineering & infrastructures
106,"omega healthcare, omega healthcare solutions, omega hospitals"
107,l&t construction
108,atos syntel
109,"d mart, dmart"
110,"manappuram finance, manappuram home finance, manappuram finance"
111,"sbi cards & payment services, sbi payment services, sbi cards and payment services limited"
112,"samsung, samsung electronics, samsung electronics, samsung india electronics, samsung engineering, samsung electronics corporation, samsung, samsung, samsung electro-mechanics, samsung heavy industries, samsung, samsung securities, samsung electro-mechanics, samsung securities co ltd, samsung heavy industries co ltd, samsung engineering co ltd, samsung electro-mechanics co ltd, samsung sdi co ltd, samsung sds co ltd, samsung electronics co ltd, samsung electronics, samsung electro-mechanics, samsung heavy industries, samsung engineering, samsung securities"
113,"bny mellon, bny mellon, national association"
114,"cummins, cummins, cummins, cummins inc., cummins, cummins inc, cummins"
115,fullerton india
116,"iqvia, iqvia, iqvia, iqvia"
117,"nagarro, nagarro, nagarro se, nagarro se"
118,"viatris, viacomcbs inc., viatris inc., viatris, viatris inc, viatris inc, viacom international inc., viatris inc., viatris inc."
119,"aditya birla fashion and retail, aditya birla fashion and retail ltd, aditya birla fashion and retail"
120,bigbasket
121,"amdocs, amdocs limited, amdocs"
122,"cbre, cbre group, cbre group, cbre group, inc., cbre group, cbiz inc, cbre group inc, cbre group"
123,bosch global software technologies
124,"indiamart intermesh, indiamart intermesh limited"
125,godrej & boyce manufacturing
126,"schneider electric, schneider electric india, schneider electric, schneider electric, schneider electric se, schneider electric, schneider electric, schneider electric se, schneider electric, schneider electric eesti as, schneider electric eesti as"
127,royal enfield
128,ust
129,"ford motor, ford motor, ford motor company, ford motor, ford motor co, ford motor company"
130,"ecom express, ecom express"
131,jbm group
132,equitas small finance bank
133,"state bank of india, bank of india, union bank of india, central bank of india, south indian bank, indian overseas bank, indian bank, united bank of india, united bank of india, reserve bank of india, state bank of india (sbi), state bank of india, south indian bank, bank of maharashtra, state bank of india, state bank of india, union bank of india, indian bank, bank of india, central bank of india, bank of maharashtra, indian overseas bank, central bank of india, indian bank, bank of india, union bank of india, state bank of india, state bank of india, indian overseas bank, union bank of india, bank of india, indian bank, bank of maharashtra, central bank of india, united bank of india, andhra bank"
134,"dell, dell, dell, dell technologies, dell technologies inc., dell technologies, dell technologies inc, dell technologies"
135,"icici lombard general insurance company, icici lombard general insurance co ltd, icici lombard general insurance company"
136,whitehat jr
137,nagarjuna construction company
138,"unitedhealth, unitedhealth, healthcare services group, unitedhealth group, unitedhealth group, unitedhealth group, healthcare services group inc, unitedhealth group inc, unitedhealth group, healthcare services group"
139,"muthoot finance, muthoot capital services, muthoot housing finance company, muthoot capital services ltd, muthoot finance ltd, muthoot finance"
140,muthoot fincorp
141,"john deere, john deere"
142,globallogic
143,"dominos pizza, pizza pizza, domino's pizza enterprises limited, domino's pizza group plc, domino's pizza, inc., domino's pizza enterprises ltd, domino's pizza inc, domino's pizza, domino's pizza enterprises, domino's pizza group"
144,"cholamandalam investment & finance, cholamandalam investment and finance, cholamandalam investment and finance company ltd, cholamandalam investment and finance company, cholamandalam financial holdings limited"
145,wipro consumer care & lighting
146,l&t financial services
147,"sbi life insurance company, sbi life insurance co ltd, sbi life insurance company"
148,"capgemini technology services india limited, capgemini india technology services"
149,"virtusa consulting services, virtusa software services"
150,axis direct
151,"kec international, kec international, kec international ltd, kec international"
152,hetero drugs
153,"lg electronics, lg electronics, lg electronics, lg electronics, inc., lg electronics, lg corp, lg electronics inc, lg electronics, lg corp"
154,motherson sumi systems
155,"sodexo, sodexo, sodexo, sodexo"
156,"swiggy, swiggy, swiggy"
157,"thermax, thermax, thermax"
158,optum
159,abbott healthcare
160,"intas pharmaceuticals, intas pharmaceuticals ltd"
161,macleods pharmaceuticals
162,"subros, subros"
163,"automatic data processing (adp), automatic data processing (adp)"
164,ve commercial vehicles
165,"varun beverages, varun beverages"
166,"hindustan coca cola beverages, hindustan colas"
167,piramal capital housing finance
168,"l&t technology services, l&t technology services careers, l&t technology services"
169,bel
170,"randstad, randstad n.v., randstad n.v., randstad holding, randstad nv, randstad"
171,"pidilite industries, pidilite industries"
172,cms it services
173,indian air force
174,"cars24, cars24"
175,"cgi group, cgi inc., cgi group inc"
176,"american express, american express, american express, express, american express, american express, american express, express inc, american express co, american express company, american express company, american express international, inc., american express credit corporation, american express travel related services company, inc., american express limited"
177,"alembic pharmaceuticals, alembic pharmaceuticals, alembic pharmaceuticals"
178,"natwest group, natwest group, natwest group, natwest group plc, natwest group, natwest group plc, natwest group"
179,"alkem laboratories, alkem laboratories, alkem laboratories ltd, alkem laboratories"
180,gati kwe
181,havells
182,"glenmark pharmaceuticals, glenmark pharmaceuticals, glenmark pharmaceuticals ltd, glenmark pharmaceuticals"
183,"abb group, abp group, abil group"
184,"deutsche bank, deutsche bank, deutsche bank, deutsche bank ag, deutsche bank, deutsche bank, deutsche bank ag, deutsche bank"
185,shoppers stop
186,simplex infrastructures
187,"ipca laboratories, ipca laboratories, ipca laboratories"
188,honda motorcycle & scooter
189,"atos, atos, atos se, atos, atos, atos se, atos se"
190,"dtdc express, dtdc"
191,dcb bank
192,"reliance nippon life insurance, nippon life insurance company, nippon life insurance company of america"
193,arvind group
194,"hindalco industries, hindalco industries, hindalco industries, hindalco industries, hindalco industries ltd, hindalco industries"
195,"mcdonald's, mcdonald, mcdonald's, mcdonald's, mcdonald's, mcdonald's corp, mcdonald's corporation"
196,suzlon group
197,"muthoot group, muthoot pappachan group"
198,"conduent, conduent, conduent"
199,"standard chartered bank, standard chartered bank, standard chartered, standard chartered, standard chartered, standard chartered plc, standard chartered, standard chartered plc, standard chartered, standard chartered international (usa) ltd., standard chartered international (usa) ltd."
200,team lease
201,24/7 customer
202,"maersk, maersk line, maersk, mãâ¸ller-maersk, mã¸ller-maersk, maersk"
203,vishal mega mart
204,kochartech
205,ekart logistics
206,mrf tyres
207,"bajaj electricals, bajaj electronics, bajaj electronics, bajaj electricals, bajaj electricals"
208,"titan company, titan laboratories, titan, titan company, titan pharmaceuticals, titan medical, titan machinery, titan international, titan mining corporation, titan medical inc., titan (india), titan machinery inc, titan international inc, titan company ltd, titan company"
209,lava international
210,"publicis sapient, publicis, publicis sapient careers, publicis, publicis, publicis srl"
211,"bank of america, corporation bank, bank of america, bank of america, bank of america, bank of america, bank of america corp, bank of america corporation, corporation bank, bank of america, national association, bank of america, national association"
212,"ceat tyres, ceat specialty tyres"
213,huawei technologies
214,tata aia life insurance
215,"jindal steel and power, jindal steel & power, jindal steel & power ltd, jindal steel & power"
216,rspl group
217,"torrent pharmaceuticals, torrent pharmaceuticals ltd, torrent pharmaceuticals"
218,itc infotech india
219,pnb metlife
220,tractors and farm equipment
221,"rbl bank, rbl bank, rbl bank limited, rbl bank"
222,"acc, acc"
223,state street syntel
224,biocon biologics india
225,capita
226,"indigo, indigo, indigo ag, indigo ag"
227,"berger paints, berger paints india ltd, berger paints india"
228,"future retail, future retail"
229,"kotak mahindara life insurance, kotak mahindra general insurance"
230,"aarti industries, aarti industries, aarti industries"
231,hdfc ergo general insurance
232,"dabur, dabur"
233,cogent e services
234,gebbs healthcare solutions
235,"apollo tyres, apollo tyres, apollo tyres ltd, apollo tyres"
236,"persistent systems, persistent systems, persistent systems"
237,"kpit technologies, kpit technologies, kpit technologies ltd, kpit technologies limited"
238,"jk cement, jsw cement, kjs cement, jk cement, j.k. cement ltd, j.k. cement"
239,"r1 rcm, r1 rcm, r1 rcm inc., r1 rcm holdco inc, r1 rcm"
240,patanjali ayurved
241,"dilip buildcon, dilip buildcon ltd"
242,"flex, flexe, flex, flex"
243,"policybazaar, policybazaar"
244,"rivigo, rivigo"
245,reliance digital
246,"tata teleservices, tata tele business services, tata teleservices, tata teleservices (maharashtra)"
247,"ola cabs, ola cabs, ola cabs"
248,"access healthcare, access healthcare services"
249,tata aig
250,aakash educational services
251,afcons infrastructure
252,eureka forbes
253,"blue dart express, blue dart express, blue dart express"
254,"radisson hotels, radisson hospitality ab"
255,landmark group
256,paras hospital
257,jmc projects
258,"escorts group, escorts limited, escorts"
259,mankind pharma
260,"legato health technologies, legato health technology"
261,"nestle, neste, neste, neste, neste"
262,lifestyle
263,max healthcare
264,synechron
265,statestreet hcl services
266,i process services
267,"birlasoft, birlasoft limited"
268,"fiserv, fiserv, fiserv, fiserv, inc., fiserv, fiserv inc, fiserv"
269,"g4s, g4s"
270,"voltas, voltas, volta, voltalia, voltas, volta finance ltd, voltalia sa, voltas ltd, voltas, voltalia sa"
271,"zensar technologies, zensar, zensar technologies"
272,birla sun life insurance
273,united phosphorus
274,"pfizer, pfizer, pfizer, pfizer, pfizer inc, pfizer"
275,ags health
276,"walmart, walmart, walmart, walmart, walmart, walmart, walmart inc, walmart, walmart inc., walmart inc., walmart inc."
277,"lenskart, lenskart, lenskart"
278,"life insurance corporation of india, life insurance corporation of india (lic), life insurance corporation of india, life insurance corporation of india"
279,"hcl infosystems, hcl infotech"
280,aditya birla group
281,hdfc sales
282,reliance smsl
283,"delhi public school, delhi world public school"
284,act fibernet
285,micro labs
286,tvs supply chain solutions
287,"ajanta pharma, ajanta pharma"
288,extramarks education
289,"exide industries, exide industries, exel industries, exide industries ltd, exide industries"
290,"pepsico, coca-cola company, coca-cola, pepsi, coca-cola, pepsico, coca-cola, pepsico, coca-cola, pepsico, coca-cola, coca-cola company, pepsico, coca-cola consolidated, coca-cola company, the, pepsico, inc., pepsi-cola metropolitan bottling company, inc., coca-cola company, the"
291,cholamandalam ms general insurance
292,"societe generale, societe generale sa, societe generale"
293,"r.r. donnelley, r.r. donnelley careers"
294,bhel
295,britannia
296,"blue star, blue star, blue star"
297,"kalyan jewellers, kalyan jewellers india limited"
298,mahindra rural housing finance
299,the himalaya drug company
300,"renault-nissan, renault, nissan, nissan, renault, renault, renault, renault, renault, renault sa"
301,emcure pharmaceuticals
302,mahindra holidays & resorts
303,"pvr cinemas, pvr cinemas"
304,"raymond, raymonds, raymond james"
305,"blackbuck, blackbuck"
306,"poonawalla fincorp, poonawalla fincorp limited"
307,dalmia bharat cement
308,igt solutions
309,sonalika tractors
310,"state street corporation, state street corporation, state street corporation, state street corp, state street corporation"
311,yazaki
312,tvs sundram fasteners
313,exide life insurance
314,sterling & wilson
315,"ambuja cements, ambuja cement foundation, ambuja cements ltd, ambuja cements"
316,uno minda
317,parle agro
318,"cg power and industrial solutions, cg power and industrial solutions"
319,tvs credit
320,"shree cement, shree cement, shree cement ltd, shree cement"
321,exotic learning
322,shahi exports
323,"v-mart, v-mart retail"
324,"force motors, force motors"
325,datamatics global services
326,brakes india
327,"indus towers, indus towers ltd, indus towers"
328,"mahindra logistics, mahindra logistics"
329,"grasim industries, grasim industries, grasim industries, grasim industries, grasim industries ltd, grasim industries"
330,reliance trends
331,ds group
332,"cafã© coffee day, coffee day, cafe coffee day"
333,shriram city
334,"whirlpool, whirlpool, whirlpool india, whirlpool, whirlpool sa, whirlpool corporation, whirlpool, whirlpool sa, whirlpool corp, whirlpool corporation, whirlpool of india, whirlpool"
335,"big bazaar, star bazaar, big bazaar, bazaar"
336,indian navy
337,niit technologies
338,iks health
339,"elasticrun, elasticrun"
340,"bharti axa life insurance, bharti axa general insurance"
341,delphi tvs
342,"sterlite technologies, sterlite industries, sterlite technologies, sterlite technologies ltd, sterlite technologies limited, sterlite technologies"
343,myntra
344,"xpressbees, xpressbees"
345,"honda, honda cars, honda, honda"
346,"3i infotech, 3i infotech, 3i infotech"
347,"sobha, sobha, sobha limited"
348,"bt group, bts group, bt group, bt group, bt group"
349,"kansai nerolac paints, kansai paint, nerolac paints, kansai paint co. ltd, kansai paint co ltd, kansai paint, kansai nerolac paints"
350,"icici securities, icici securities limited"
351,"indiabulls, indiabulls ventures, indiabulls ventures"
352,"thomson reuters, thomson reuters, thomson reuters, thomson reuters careers, thomson reuters corporation, thomson reuters, thomson reuters corp, thomson reuters corporation, thomson reuters (professional) uk limited, thomson reuters group limited"
353,jk tyres
354,"cybage, cybage"
355,"srf, srf limited, srf"
356,"shell, shell, shell, shell, shell, shell"
357,"bharat petroleum, bharat petroleum, bharat petroleum, bharat electronics ltd, bharat heavy electricals ltd, bharat petroleum corp ltd, bharat petroleum corporation, bharat electronics, bharat heavy electricals"
358,future generali india life insurance
359,"lodha group, lodha group"
360,bhushan power & steel
361,"johnson controls, johnson controls, johnson controls"
